locus_tag	ftype	length_bp	gene	EC_number	COG	product
MFNABGGJ_03016	CDS	165				hypothetical protein
MFNABGGJ_03017	CDS	303				hypothetical protein
MFNABGGJ_03018	CDS	351				hypothetical protein
MFNABGGJ_03019	CDS	651				hypothetical protein
MFNABGGJ_03020	CDS	912	tsdA	1.8.2.2	COG3258	Thiosulfate dehydrogenase
MFNABGGJ_03021	CDS	231				hypothetical protein
MFNABGGJ_03022	CDS	285				hypothetical protein
MFNABGGJ_03023	CDS	186				hypothetical protein
MFNABGGJ_03024	CDS	840	gtaB	2.7.7.9	COG1210	UTP--glucose-1-phosphate uridylyltransferase
MFNABGGJ_03025	CDS	1359	garB	1.8.1.16		Glutathione amide reductase
MFNABGGJ_03026	CDS	1008				hypothetical protein
MFNABGGJ_03027	CDS	927	xerC_3			Tyrosine recombinase XerC
MFNABGGJ_03028	CDS	564	ahpC_1	1.11.1.15	COG0450	Alkyl hydroperoxide reductase C
MFNABGGJ_03029	CDS	1554	ahpF	1.8.1.-	COG3634	Alkyl hydroperoxide reductase subunit F
MFNABGGJ_03030	CDS	522	gloA	4.4.1.5		Lactoylglutathione lyase
MFNABGGJ_03031	CDS	537				hypothetical protein
MFNABGGJ_03032	CDS	366				hypothetical protein
MFNABGGJ_03033	CDS	1545	pdeG	3.1.4.52		putative cyclic di-GMP phosphodiesterase PdeG
MFNABGGJ_03034	CDS	873	gltC_6			HTH-type transcriptional regulator GltC
MFNABGGJ_03035	CDS	924	eamA_2		COG0697	putative amino-acid metabolite efflux pump
MFNABGGJ_03036	CDS	1077	hpd	1.13.11.27		4-hydroxyphenylpyruvate dioxygenase
MFNABGGJ_03037	CDS	882	rarD_2		COG2962	Protein RarD
MFNABGGJ_03038	CDS	1011	yajO_1	1.1.-.-	COG0667	1-deoxyxylulose-5-phosphate synthase YajO
MFNABGGJ_03039	CDS	903	dmlR_10			HTH-type transcriptional regulator DmlR
MFNABGGJ_03040	CDS	705	fabG_8	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
MFNABGGJ_03041	CDS	348				hypothetical protein
MFNABGGJ_03042	CDS	1311	nicT_2			Putative metabolite transport protein NicT
MFNABGGJ_03043	CDS	1107	cdaR		COG3835	Carbohydrate diacid regulator
MFNABGGJ_03044	CDS	1146	garK	2.7.1.165	COG1929	Glycerate 2-kinase
MFNABGGJ_03045	CDS	513	aaaT	2.3.1.-	COG0454	L-amino acid N-acetyltransferase AaaT
MFNABGGJ_03046	CDS	696	ygeA	5.1.1.13		L-aspartate/glutamate-specific racemase
MFNABGGJ_03047	CDS	495				hypothetical protein
MFNABGGJ_03048	CDS	222				hypothetical protein
MFNABGGJ_03049	CDS	1428	ccoN1_3	1.9.3.1	COG3278	Cbb3-type cytochrome c oxidase subunit CcoN1
MFNABGGJ_03050	CDS	1425	aldA_1	1.2.1.22	COG1012	Lactaldehyde dehydrogenase
MFNABGGJ_03051	CDS	1311	yihN			Inner membrane protein YihN
MFNABGGJ_03052	CDS	1218	dgoD_2	4.2.1.6	COG4948	D-galactonate dehydratase
MFNABGGJ_03053	CDS	1611	betA_2	1.1.99.1	COG2303	Oxygen-dependent choline dehydrogenase
MFNABGGJ_03054	CDS	921	psdht	4.2.1.-		Phenylserine dehydratase
MFNABGGJ_03055	CDS	1404	putP_2		COG0591	High-affinity proline transporter PutP
MFNABGGJ_03056	CDS	621	msrQ			Protein-methionine-sulfoxide reductase heme-binding subunit MsrQ
MFNABGGJ_03057	CDS	1014	msrP	1.8.5.-	COG2041	Protein-methionine-sulfoxide reductase catalytic subunit MsrP
MFNABGGJ_03058	CDS	858				hypothetical protein
MFNABGGJ_03059	CDS	1017	ilvC	1.1.1.86	COG0059	Ketol-acid reductoisomerase (NADP(+))
MFNABGGJ_03060	CDS	492	ilvH	2.2.1.6	COG0440	Acetolactate synthase isozyme 3 small subunit
MFNABGGJ_03061	CDS	1725	ilvI	2.2.1.6	COG0028	Acetolactate synthase isozyme 3 large subunit
MFNABGGJ_03062	CDS	330	yqcC		COG3098	putative protein YqcC
MFNABGGJ_03063	CDS	735				hypothetical protein
MFNABGGJ_03064	CDS	2325	mrcB		COG0744	Penicillin-binding protein 1B
MFNABGGJ_03065	CDS	1557			COG0645	putative protein
MFNABGGJ_03066	CDS	345				hypothetical protein
MFNABGGJ_03067	CDS	273				hypothetical protein
MFNABGGJ_03068	CDS	768	hmuV	3.6.3.-	COG4559	Hemin import ATP-binding protein HmuV
MFNABGGJ_03069	CDS	1038	hmuU_2		COG0609	Hemin transport system permease protein HmuU
MFNABGGJ_03070	CDS	879	hmuT		COG4558	Hemin-binding periplasmic protein HmuT
MFNABGGJ_03071	CDS	318				hypothetical protein
MFNABGGJ_03072	CDS	714	sfsA		COG1489	Sugar fermentation stimulation protein A
MFNABGGJ_03073	CDS	1173	aspC_2	2.6.1.1	COG0436	Aspartate aminotransferase
MFNABGGJ_03074	CDS	435	dksA_3		COG1734	RNA polymerase-binding transcription factor DksA
MFNABGGJ_03075	CDS	888	gluQ	6.1.1.-	COG0008	Glutamyl-Q tRNA(Asp) synthetase
MFNABGGJ_03076	CDS	177				hypothetical protein
MFNABGGJ_03077	CDS	2955	sasA_11	2.7.-.-		Adaptive-response sensory-kinase SasA
MFNABGGJ_03078	CDS	1437	zraR		COG2204	Transcriptional regulatory protein ZraR
MFNABGGJ_03079	CDS	156				hypothetical protein
MFNABGGJ_03080	CDS	1407	pcnB	2.7.7.19	COG0617	Poly(A) polymerase I
MFNABGGJ_03081	CDS	498	folK	2.7.6.3	COG0801	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
MFNABGGJ_03082	CDS	801	panB_1	2.1.2.11	COG0413	3-methyl-2-oxobutanoate hydroxymethyltransferase
MFNABGGJ_03083	CDS	852	panC	6.3.2.1	COG0414	Pantothenate synthetase
MFNABGGJ_03084	CDS	1665	pgi	5.3.1.9	COG0166	Glucose-6-phosphate isomerase
MFNABGGJ_03085	CDS	1938	acsA_1	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
MFNABGGJ_03086	CDS	876				hypothetical protein
MFNABGGJ_03087	CDS	1017	rlmI_2	2.1.1.191	COG1092	Ribosomal RNA large subunit methyltransferase I
MFNABGGJ_03088	CDS	2934				hypothetical protein
MFNABGGJ_03089	CDS	621	osmY_2		COG2823	Osmotically-inducible protein Y
MFNABGGJ_03090	CDS	2106	pnp	2.7.7.8	COG1185	Polyribonucleotide nucleotidyltransferase
MFNABGGJ_03091	CDS	270	rpsO		COG0184	30S ribosomal protein S15
MFNABGGJ_03092	CDS	918	truB	5.4.99.25	COG0130	tRNA pseudouridine synthase B
MFNABGGJ_03093	CDS	402	rbfA		COG0858	30S ribosome-binding factor
MFNABGGJ_03094	CDS	2523	infB		COG0532	Translation initiation factor IF-2
MFNABGGJ_03095	CDS	1482	nusA		COG0195	Transcription termination/antitermination protein NusA
MFNABGGJ_03096	CDS	477	rimP		COG0779	Ribosome maturation factor RimP
MFNABGGJ_03097	tRNA	77				tRNA-Met(cat)
MFNABGGJ_03098	tRNA	86				tRNA-Leu(gag)
MFNABGGJ_03099	CDS	756	tpiA	5.3.1.1	COG0149	Triosephosphate isomerase
MFNABGGJ_03100	CDS	1338	glmM	5.4.2.10	COG1109	Phosphoglucosamine mutase
MFNABGGJ_03101	CDS	852	folP	2.5.1.15	COG0294	Dihydropteroate synthase
MFNABGGJ_03102	CDS	1920	ftsH	3.4.24.-	COG0465	ATP-dependent zinc metalloprotease FtsH
MFNABGGJ_03103	CDS	651	rlmE	2.1.1.166	COG0293	Ribosomal RNA large subunit methyltransferase E
MFNABGGJ_03104	CDS	309			COG1534	RNA-binding protein
MFNABGGJ_03105	CDS	405				hypothetical protein
MFNABGGJ_03106	CDS	477	greA_1		COG0782	Transcription elongation factor GreA
MFNABGGJ_03107	CDS	3222	carB_1	6.3.5.5	COG0458	Carbamoyl-phosphate synthase large chain
MFNABGGJ_03108	CDS	1137	carA	6.3.5.5	COG0505	Carbamoyl-phosphate synthase small chain
MFNABGGJ_03109	CDS	807	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
MFNABGGJ_03110	CDS	1125	dnaJ		COG0484	Chaperone protein DnaJ
MFNABGGJ_03111	CDS	1917	dnaK_2		COG0443	Chaperone protein DnaK
MFNABGGJ_03112	CDS	561	grpE		COG0576	Protein GrpE
MFNABGGJ_03113	CDS	1674	recN		COG0497	DNA repair protein RecN
MFNABGGJ_03114	CDS	405	fur		COG0735	Ferric uptake regulation protein
MFNABGGJ_03115	CDS	528	bamE			Outer membrane protein assembly factor BamE
MFNABGGJ_03116	CDS	315				hypothetical protein
MFNABGGJ_03117	CDS	435	ratA		COG2867	Ribosome association toxin RatA
MFNABGGJ_03118	CDS	483	smpB		COG0691	SsrA-binding protein
MFNABGGJ_03119	CDS	768	pdhR		COG2186	Pyruvate dehydrogenase complex repressor
MFNABGGJ_03120	CDS	1695	glcA		COG1620	Glycolate permease GlcA
MFNABGGJ_03121	CDS	2811				hypothetical protein
MFNABGGJ_03122	CDS	285				hypothetical protein
MFNABGGJ_03123	tmRNA	398	ssrA			transfer-messenger RNA, SsrA
MFNABGGJ_03124	CDS	441	lrpC_2		COG1522	HTH-type transcriptional regulator LrpC
MFNABGGJ_03125	CDS	717				hypothetical protein
MFNABGGJ_03126	CDS	1485				hypothetical protein
MFNABGGJ_03127	CDS	1146	mccB	4.4.1.1	COG0626	Cystathionine gamma-lyase
MFNABGGJ_03128	CDS	1272	hpgT	2.6.1.103		(S)-3,5-dihydroxyphenylglycine transaminase
MFNABGGJ_03129	CDS	630				hypothetical protein
MFNABGGJ_03130	CDS	1029				hypothetical protein
MFNABGGJ_03131	CDS	555				hypothetical protein
MFNABGGJ_03132	CDS	1458	arnT_1	2.4.2.43		Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase
MFNABGGJ_03133	CDS	5745				hypothetical protein
MFNABGGJ_03134	CDS	1920	mcpS		COG0840	Methyl-accepting chemotaxis protein McpS
MFNABGGJ_03135	CDS	369				hypothetical protein
MFNABGGJ_03136	CDS	1464	dan	3.5.1.81		D-aminoacylase
MFNABGGJ_03137	CDS	861	hexR_2		COG1737	HTH-type transcriptional regulator HexR
MFNABGGJ_03138	CDS	1404	gntT_1		COG2610	High-affinity gluconate transporter
MFNABGGJ_03139	CDS	393				hypothetical protein
MFNABGGJ_03140	CDS	1446	bicA		COG0659	Bicarbonate transporter BicA
MFNABGGJ_03141	CDS	894				hypothetical protein
MFNABGGJ_03142	CDS	897	dmlR_11			HTH-type transcriptional regulator DmlR
MFNABGGJ_03143	CDS	591	mdaB	1.6.5.10	COG2249	NADPH:quinone oxidoreductase MdaB
MFNABGGJ_03144	CDS	765				hypothetical protein
MFNABGGJ_03145	CDS	897	cysL_3		COG0583	HTH-type transcriptional regulator CysL
MFNABGGJ_03146	CDS	1407	gabP_2		COG1113	GABA permease
MFNABGGJ_03147	CDS	1251	kynU	3.7.1.3		Kynureninase
MFNABGGJ_03148	CDS	474	lrp_3		COG1522	Leucine-responsive regulatory protein
MFNABGGJ_03149	CDS	930	catA	1.13.11.1	COG3485	Catechol 1,2-dioxygenase
MFNABGGJ_03150	CDS	291	catC	5.3.3.4	COG4829	Muconolactone Delta-isomerase
MFNABGGJ_03151	CDS	1125	catB	5.5.1.1	COG4948	Muconate cycloisomerase 1
MFNABGGJ_03152	CDS	876	benM_2			HTH-type transcriptional regulator BenM
MFNABGGJ_03153	CDS	999				hypothetical protein
MFNABGGJ_03154	CDS	1392	antA_1	1.14.12.1	COG4638	Anthranilate 1,2-dioxygenase large subunit
MFNABGGJ_03155	CDS	495	antB	1.14.12.1	COG5517	Anthranilate 1,2-dioxygenase small subunit
MFNABGGJ_03156	CDS	1008	antC		COG0543	Anthranilate 1,2-dioxygenase electron transfer component
MFNABGGJ_03157	CDS	1401	aroP_1		COG1113	Aromatic amino acid transport protein AroP
MFNABGGJ_03158	CDS	858	kynA	1.13.11.11	COG3483	Tryptophan 2,3-dioxygenase
MFNABGGJ_03159	CDS	651	kynB	3.5.1.9	COG1878	Kynurenine formamidase
MFNABGGJ_03160	CDS	345				hypothetical protein
MFNABGGJ_03161	CDS	888	mmsB	1.1.1.31	COG2084	3-hydroxyisobutyrate dehydrogenase
MFNABGGJ_03162	CDS	1518	mmsA	1.2.1.27	COG1012	Methylmalonate-semialdehyde dehydrogenase [acylating]
MFNABGGJ_03163	CDS	948	hdfR_6			HTH-type transcriptional regulator HdfR
MFNABGGJ_03164	CDS	492	pal_2			Peptidoglycan-associated lipoprotein
MFNABGGJ_03165	CDS	1269	dgcN	2.7.7.65	COG2199	Diguanylate cyclase DgcN
MFNABGGJ_03166	CDS	522				hypothetical protein
MFNABGGJ_03167	CDS	2052	recD	3.1.11.5	COG0507	RecBCD enzyme subunit RecD
MFNABGGJ_03168	CDS	3678	recB	3.1.11.5	COG1074	RecBCD enzyme subunit RecB
MFNABGGJ_03169	CDS	3450	recC	3.1.11.5	COG1330	RecBCD enzyme subunit RecC
MFNABGGJ_03170	rRNA	110				5S ribosomal RNA
MFNABGGJ_03171	rRNA	2891				23S ribosomal RNA
MFNABGGJ_03172	CDS	1479	ybhI		COG0471	Inner membrane protein YbhI
MFNABGGJ_03173	CDS	1371	rcsC_8	2.7.13.3		Sensor histidine kinase RcsC
MFNABGGJ_03174	CDS	1164	dhaT	1.1.1.202	COG1454	1,3-propanediol dehydrogenase
MFNABGGJ_03175	CDS	666	degU_1		COG2197	Transcriptional regulatory protein DegU
MFNABGGJ_03176	CDS	816				hypothetical protein
MFNABGGJ_03177	CDS	1245				hypothetical protein
MFNABGGJ_03178	CDS	336	bigR		COG0640	Biofilm growth-associated repressor
MFNABGGJ_03179	CDS	864		3.-.-.-		putative metallo-hydrolase
MFNABGGJ_03180	CDS	486	decR_3		COG1522	DNA-binding transcriptional activator DecR
MFNABGGJ_03181	CDS	1236	bkdA1	1.2.4.4	COG1071	2-oxoisovalerate dehydrogenase subunit alpha
MFNABGGJ_03182	CDS	1059	bkdA2	1.2.4.4	COG0022	2-oxoisovalerate dehydrogenase subunit beta
MFNABGGJ_03183	CDS	1284	bkdB	2.3.1.168	COG0508	Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex
MFNABGGJ_03184	CDS	1380	lpdV	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase
MFNABGGJ_03185	CDS	1020	ilvE	2.6.1.42		putative branched-chain-amino-acid aminotransferase
MFNABGGJ_03186	CDS	897	ypeA_1	2.3.1.-		Acetyltransferase YpeA
MFNABGGJ_03187	CDS	927				hypothetical protein
MFNABGGJ_03188	CDS	1047	ocd	4.3.1.12	COG2423	Ornithine cyclodeaminase
MFNABGGJ_03189	CDS	540				hypothetical protein
MFNABGGJ_03190	CDS	780	hisJ_2		COG0834	Histidine-binding periplasmic protein
MFNABGGJ_03191	CDS	810	hisQ_1		COG4215	Histidine transport system permease protein HisQ
MFNABGGJ_03192	CDS	714	hisM_1		COG4160	Histidine transport system permease protein HisM
MFNABGGJ_03193	CDS	846	hisP_1		COG4598	Histidine transport ATP-binding protein HisP
MFNABGGJ_03194	CDS	498				hypothetical protein
MFNABGGJ_03195	CDS	834				hypothetical protein
MFNABGGJ_03196	CDS	1221				hypothetical protein
MFNABGGJ_03197	CDS	1338	pvdA	1.14.13.195	COG3486	L-ornithine N(5)-monooxygenase
MFNABGGJ_03198	CDS	483	fecI_7		COG1595	putative RNA polymerase sigma factor FecI
MFNABGGJ_03199	CDS	1167	macA_2		COG0845	Macrolide export protein MacA
MFNABGGJ_03200	CDS	1974	macB_2	3.6.3.-	COG0577	Macrolide export ATP-binding/permease protein MacB
MFNABGGJ_03201	CDS	1416	cusC		COG1538	Cation efflux system protein CusC
MFNABGGJ_03202	CDS	1626				hypothetical protein
MFNABGGJ_03203	CDS	1371				hypothetical protein
MFNABGGJ_03204	CDS	1314	cefD_1	5.1.1.17	COG0520	Isopenicillin N epimerase
MFNABGGJ_03205	CDS	861	pkn1_2	2.7.11.1		Serine/threonine-protein kinase Pkn1
MFNABGGJ_03206	CDS	1656	yojI		COG4615	ABC transporter ATP-binding/permease protein YojI
MFNABGGJ_03207	CDS	3390	lgrB_1			Linear gramicidin synthase subunit B
MFNABGGJ_03208	CDS	8694	lgrD_1			Linear gramicidin synthase subunit D
MFNABGGJ_03209	CDS	2424	fpvA_2		COG4773	Ferripyoverdine receptor
MFNABGGJ_03210	CDS	3162	lgrD_2			Linear gramicidin synthase subunit D
MFNABGGJ_03211	CDS	10302	lgrB_2			Linear gramicidin synthase subunit B
MFNABGGJ_03212	CDS	252				hypothetical protein
MFNABGGJ_03213	CDS	357				hypothetical protein
MFNABGGJ_03214	CDS	1173				hypothetical protein
MFNABGGJ_03215	CDS	585				hypothetical protein
MFNABGGJ_03216	CDS	1512	emrB_2			Colistin resistance protein EmrB
MFNABGGJ_03217	CDS	1131	emrA_3			Colistin resistance protein EmrA
MFNABGGJ_03218	CDS	1449	arpC_2		COG1538	Antibiotic efflux pump outer membrane protein ArpC
MFNABGGJ_03219	CDS	744	nimR_5			HTH-type transcriptional regulator NimR
MFNABGGJ_03220	CDS	801	gdhI	1.1.1.47	COG1028	Glucose 1-dehydrogenase 1
MFNABGGJ_03221	CDS	1827		3.2.1.28	COG3387	Trehalase
MFNABGGJ_03222	CDS	909	menH_4	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
MFNABGGJ_03223	CDS	2196	cph1_2	2.7.13.3		Phytochrome-like protein cph1
MFNABGGJ_03224	CDS	588				hypothetical protein
MFNABGGJ_03225	CDS	969	rhaS_6			HTH-type transcriptional activator RhaS
MFNABGGJ_03226	CDS	681	inhA	4.2.1.103		Isonitrile hydratase
MFNABGGJ_03227	CDS	342				hypothetical protein
MFNABGGJ_03228	CDS	630	leuE_4		COG1280	Leucine efflux protein
MFNABGGJ_03229	CDS	1326	hisC_5	2.6.1.9		Histidinol-phosphate aminotransferase
MFNABGGJ_03230	CDS	303				hypothetical protein
MFNABGGJ_03231	CDS	516	fecI_8		COG1595	putative RNA polymerase sigma factor FecI
MFNABGGJ_03232	CDS	939	fecR_6		COG3712	Protein FecR
MFNABGGJ_03233	CDS	2487	fpvA_3		COG4773	Ferripyoverdine receptor
MFNABGGJ_03234	CDS	1440	wcaJ_1	2.7.8.31	COG2148	UDP-glucose:undecaprenyl-phosphate glucose-1-phosphate transferase
MFNABGGJ_03235	CDS	1461	algA_2		COG0662	Alginate biosynthesis protein AlgA
MFNABGGJ_03236	CDS	912				hypothetical protein
MFNABGGJ_03237	CDS	789				hypothetical protein
MFNABGGJ_03238	CDS	1992				hypothetical protein
MFNABGGJ_03239	CDS	1191	mshA_2	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
MFNABGGJ_03240	CDS	1329				hypothetical protein
MFNABGGJ_03241	CDS	1218				hypothetical protein
MFNABGGJ_03242	CDS	1104				hypothetical protein
MFNABGGJ_03243	CDS	1434				hypothetical protein
MFNABGGJ_03244	CDS	1416	murJ_1			lipid II flippase MurJ
MFNABGGJ_03245	CDS	1044				hypothetical protein
MFNABGGJ_03246	CDS	582				hypothetical protein
MFNABGGJ_03247	CDS	621				hypothetical protein
MFNABGGJ_03248	CDS	216				hypothetical protein
MFNABGGJ_03249	CDS	579				hypothetical protein
MFNABGGJ_03250	CDS	2358	polB	2.7.7.7	COG0417	DNA polymerase II
MFNABGGJ_03251	CDS	2235	fcuA_1			Ferrichrome receptor FcuA
MFNABGGJ_03252	CDS	882	cysL_4		COG0583	HTH-type transcriptional regulator CysL
MFNABGGJ_03253	CDS	1107	dmlA	1.1.1.83	COG0473	D-malate dehydrogenase [decarboxylating]
MFNABGGJ_03254	CDS	1455	mpdC	1.2.1.98		Hydroxyisobutyraldehyde dehydrogenase
MFNABGGJ_03255	CDS	759	tsaC1_2	1.2.1.62		4-formylbenzenesulfonate dehydrogenase TsaC1/TsaC2
MFNABGGJ_03256	CDS	972				hypothetical protein
MFNABGGJ_03257	CDS	468				hypothetical protein
MFNABGGJ_03258	CDS	1893	mrdA_1	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase MrdA
MFNABGGJ_03259	CDS	1416		1.2.1.3		Putative aldehyde dehydrogenase
MFNABGGJ_03260	CDS	891	pgrR_8			HTH-type transcriptional regulator PgrR
MFNABGGJ_03261	CDS	903	oleB	4.1.1.114	COG0596	Cis-3-alkyl-4-alkyloxetan-2-one decarboxylase
MFNABGGJ_03262	CDS	783				hypothetical protein
MFNABGGJ_03263	CDS	687	yohK_1		COG1346	Inner membrane protein YohK
MFNABGGJ_03264	CDS	387	cidA_1			Holin-like protein CidA
MFNABGGJ_03265	CDS	897	gltC_7			HTH-type transcriptional regulator GltC
MFNABGGJ_03266	CDS	456			COG0716	putative protein
MFNABGGJ_03267	CDS	468	pfyP			Blue-light photoreceptor
MFNABGGJ_03268	CDS	606				hypothetical protein
MFNABGGJ_03269	CDS	1065				hypothetical protein
MFNABGGJ_03270	CDS	561				hypothetical protein
MFNABGGJ_03271	CDS	711	folM	1.5.1.50	COG1028	Dihydromonapterin reductase
MFNABGGJ_03272	CDS	561	folE_1	3.5.4.16	COG0302	GTP cyclohydrolase 1
MFNABGGJ_03273	CDS	372	folX	5.1.99.7	COG1539	Dihydroneopterin triphosphate 2'-epimerase
MFNABGGJ_03274	CDS	297				hypothetical protein
MFNABGGJ_03275	CDS	339				hypothetical protein
MFNABGGJ_03276	CDS	963		4.3.1.9	COG0492	Glucosaminate ammonia-lyase
MFNABGGJ_03277	CDS	756	cysZ		COG2981	Sulfate transporter CysZ
MFNABGGJ_03278	CDS	1236	mgtA	2.4.1.-	COG0438	GDP-mannose-dependent alpha-mannosyltransferase
MFNABGGJ_03279	CDS	1104		1.-.-.-		NADH oxidase
MFNABGGJ_03280	CDS	483	btuE_1	1.11.1.15	COG0386	Thioredoxin/glutathione peroxidase BtuE
MFNABGGJ_03281	CDS	486	slyD	5.2.1.8	COG1047	FKBP-type peptidyl-prolyl cis-trans isomerase SlyD
MFNABGGJ_03282	CDS	2100	pta	2.3.1.8	COG0280	Phosphate acetyltransferase
MFNABGGJ_03283	CDS	900	yihG_2	2.3.-.-	COG0204	putative acyltransferase YihG
MFNABGGJ_03284	CDS	1899	cysNC		COG0529	Bifunctional enzyme CysN/CysC
MFNABGGJ_03285	CDS	918	cysD	2.7.7.4	COG0175	Sulfate adenylyltransferase subunit 2
MFNABGGJ_03286	CDS	759			COG0327	GTP cyclohydrolase 1 type 2 
MFNABGGJ_03287	CDS	1155	degS	3.4.21.107	COG0265	Serine endoprotease DegS
MFNABGGJ_03288	CDS	2112	cntO_3			Metal-pseudopaline receptor CntO
MFNABGGJ_03289	CDS	720			COG5266	putative protein
MFNABGGJ_03290	CDS	1026	hemH	4.99.1.1	COG0276	Ferrochelatase
MFNABGGJ_03291	CDS	900				Epimerase family protein
MFNABGGJ_03292	CDS	987		1.6.3.5	COG3380	Renalase
MFNABGGJ_03293	CDS	216				hypothetical protein
MFNABGGJ_03294	CDS	972				hypothetical protein
MFNABGGJ_03295	CDS	930				hypothetical protein
MFNABGGJ_03296	CDS	1446	phrB_1	4.1.99.3	COG0415	Deoxyribodipyrimidine photo-lyase
MFNABGGJ_03297	CDS	423				hypothetical protein
MFNABGGJ_03298	CDS	783	hcaB_5	1.3.1.87		3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase
MFNABGGJ_03299	CDS	1248				hypothetical protein
MFNABGGJ_03300	CDS	807				hypothetical protein
MFNABGGJ_03301	CDS	1272	trmR_1	2.1.1.-		tRNA 5-hydroxyuridine methyltransferase
MFNABGGJ_03302	CDS	492				hypothetical protein
MFNABGGJ_03303	CDS	306				hypothetical protein
MFNABGGJ_03304	CDS	519	pagL	3.1.1.77		Lipid A deacylase PagL
MFNABGGJ_03305	CDS	795	murI	5.1.1.3	COG0796	Glutamate racemase
MFNABGGJ_03306	CDS	753	moeB	2.7.7.80	COG0476	Molybdopterin-synthase adenylyltransferase
MFNABGGJ_03307	CDS	828	prmC	2.1.1.297	COG2890	Release factor glutamine methyltransferase
MFNABGGJ_03308	CDS	1083	prfA		COG0216	Peptide chain release factor RF1
MFNABGGJ_03309	CDS	1290	hemA	1.2.1.70	COG0373	Glutamyl-tRNA reductase
MFNABGGJ_03310	CDS	1668	bepA_1	3.4.-.-		Beta-barrel assembly-enhancing protease
MFNABGGJ_03311	CDS	618	lolB		COG3017	Outer-membrane lipoprotein LolB
MFNABGGJ_03312	CDS	852	ispE	2.7.1.148	COG1947	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
MFNABGGJ_03313	tRNA	75				tRNA-Gln(ttg)
MFNABGGJ_03314	CDS	933	prs	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
MFNABGGJ_03315	CDS	600	rplY			50S ribosomal protein L25
MFNABGGJ_03316	CDS	585	pth	3.1.1.29	COG0193	Peptidyl-tRNA hydrolase
MFNABGGJ_03317	CDS	1101	ychF		COG0012	Ribosome-binding ATPase YchF
MFNABGGJ_03318	CDS	924	dctD_2			C4-dicarboxylate transport transcriptional regulatory protein DctD
MFNABGGJ_03319	CDS	177				hypothetical protein
MFNABGGJ_03320	CDS	375				hypothetical protein
MFNABGGJ_03321	CDS	780				hypothetical protein
MFNABGGJ_03322	CDS	543				hypothetical protein
MFNABGGJ_03323	CDS	591				hypothetical protein
MFNABGGJ_03324	CDS	219				hypothetical protein
MFNABGGJ_03325	CDS	393				hypothetical protein
MFNABGGJ_03326	CDS	2142	sctC_3			Type 3 secretion system secretin
MFNABGGJ_03327	CDS	204				hypothetical protein
MFNABGGJ_03328	CDS	363				hypothetical protein
MFNABGGJ_03329	CDS	1098	yscU_1			Yop proteins translocation protein U
MFNABGGJ_03330	CDS	789	spaR_1		COG4791	Surface presentation of antigens protein SpaR
MFNABGGJ_03331	CDS	264	spaQ		COG4794	Surface presentation of antigens protein SpaQ
MFNABGGJ_03332	CDS	654	spaP_1		COG4790	Surface presentation of antigens protein SpaP
MFNABGGJ_03333	CDS	1014				hypothetical protein
MFNABGGJ_03334	CDS	459				hypothetical protein
MFNABGGJ_03335	CDS	441				hypothetical protein
MFNABGGJ_03336	CDS	1347	hrcN	7.1.2.2	COG1157	Type III secretion ATP synthase HrcN
MFNABGGJ_03337	CDS	903				hypothetical protein
MFNABGGJ_03338	CDS	2097	ssaV		COG4789	Secretion system apparatus protein SsaV
MFNABGGJ_03339	CDS	903				hypothetical protein
MFNABGGJ_03340	CDS	552	rpoE_1			ECF RNA polymerase sigma-E factor
MFNABGGJ_03341	CDS	1218	fsr			Fosmidomycin resistance protein
MFNABGGJ_03342	CDS	321				hypothetical protein
MFNABGGJ_03343	tRNA	77				tRNA-Met(cat)
MFNABGGJ_03344	CDS	1041				hypothetical protein
MFNABGGJ_03345	CDS	585	rimJ	2.3.1.267	COG1670	[Ribosomal protein S5]-alanine N-acetyltransferase
MFNABGGJ_03346	CDS	516	fecI_9		COG1595	putative RNA polymerase sigma factor FecI
MFNABGGJ_03347	CDS	945				hypothetical protein
MFNABGGJ_03348	CDS	2409	fpvA_4		COG4773	Ferripyoverdine receptor
MFNABGGJ_03349	CDS	945				hypothetical protein
MFNABGGJ_03350	CDS	1827	ggt_2	3.4.19.13	COG0405	Glutathione hydrolase proenzyme
MFNABGGJ_03351	CDS	723				hypothetical protein
MFNABGGJ_03352	CDS	315				hypothetical protein
MFNABGGJ_03353	CDS	1095	ddlA	6.3.2.4	COG1181	D-alanine--D-alanine ligase A
MFNABGGJ_03354	CDS	639	rhtC_2		COG1280	Threonine efflux protein
